X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.56349,43.704845,6161273,1176916,2010,2010-07-13T04:00:00.000Z,2035,20,KIPLING AVE,BELFIELD RD, ,Major Arterial,Etobicoke York,43.704845,-79.56349,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Driver,65 to 69,Fatal,23,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , , ,Yes, ,Yes,, , , ,Yes,Yes, , ,23,,,1,,15
-79.22742,43.729457,80494144,5002074254,2015,2015-12-03T05:00:00.000Z,2038,20,KINGSTON RD,FAIRCROFT BLVD,119 m West of,Major Arterial,Scarborough,43.729457,-79.22742,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Unattended Vehicle,Driver,30 to 34,Fatal,61,West,"Automobile, Station Wagon",Going Ahead,Lost control,Inattentive, , , , , , , , ,Yes, , ,, , ,Yes,Yes, , , ,43,,,123,,16
-79.58575,43.750846,80975008,8002018204,2018,2018-11-01T04:00:00.000Z,2043,20,KIPLING  AVE,ANNABELLE  DR, ,Major Arterial,Etobicoke York,43.750846,-79.58575,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,90 to 94,Fatal,59,West, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal, , , ,Yes, ,Yes, , ,, , , , , , , ,23,,,2,,17
-79.40909,43.765745,6201189,1193747,2010,2010-10-07T04:00:00.000Z,2044,20,DORIS AVE,HOLLYWOOD AVE, ,Minor Arterial,North York,43.765745,-79.40909,Mid-Block, ,Pedestrian Crossover,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,34,West,Other, , , ,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,32,,,51,,18
-79.43909,43.634444,7848923,1369177,2013,2013-08-03T04:00:00.000Z,2048,20,LAKE SHORE BLVD W,DOWLING S LAKESHORE W RAMP, ,Expressway,Toronto and East York,43.634444,-79.43909,Mid-Block, ,No Control,Clear,Dusk,Dry,Fatal,Other,Passenger,15 to 19,Fatal,28, , , , , , , , , , , , , , , ,Yes,, ,Yes, , , , , ,14,,,85,,19
-79.19909,43.800245,7514338,1290199,2012,2012-04-21T04:00:00.000Z,2050,20,MORNINGSIDE AVE,MILNER AVE, ,Expressway,Scarborough,43.800245,-79.19909,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,12,West,Other, , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive, , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,132,,20
-79.302638,43.724711,80496511,5000513611,2015,2015-03-27T04:00:00.000Z,2053,20,EGLINTON AVE E,VICTORIA PARK AVE,3 m West of,Major Arterial,Scarborough,43.724711,-79.302638,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,12,Unknown, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Other, , , ,Yes, ,Yes, , ,, ,Yes, , , , , ,"33,54,41",,,120,,21
-79.292499,43.782229,80972617,8001785891,2018,2018-09-26T04:00:00.000Z,2053,20,3850 SHEPPARD AVE E, ,90 m East of ALLANFORD RD,Major Arterial,Scarborough,43.782229,-79.292499,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,52,South, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,42,,,118,,22
-79.249019,43.83705,80781221,7001553173,2017,2017-08-27T04:00:00.000Z,2054,20,6065 STEELES AVE E, , ,Major Arterial,Scarborough,43.83705,-79.249019,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,38,North, , , , ,Pedestrian hit at mid-block,Running onto Roadway,Inattentive, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,42,,,131,,23
-79.574641,43.728129,80545162,6001171035,2016,2016-07-04T04:00:00.000Z,2055,20,KIPLING AVE,WESTHUMBER BLVD, ,Major Arterial,Etobicoke York,43.728129,-79.574641,Intersection,At Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,40,Unknown, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Walking on Roadway with Traffic,Normal, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,23,,,4,,24
-79.239131,43.767378,80948660,8001473575,2018,2018-08-10T04:00:00.000Z,2055,20,BELLAMY RD N,BRIMORTON DR, ,Minor Arterial,Scarborough,43.767378,-79.239131,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Motorcycle Driver,70 to 74,Fatal,41,West,Motorcycle,Going Ahead,Driving Properly,Unknown, , , , , , , , ,Yes,Yes, ,, , , ,Yes,Yes, , ,43,,,137,,25
-79.518886,43.762446,7807813,1351471,2013,2013-04-12T04:00:00.000Z,2056,20,JANE ST,STONG CRT, ,Major Arterial,Etobicoke York,43.762446,-79.518886,Mid-Block, ,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,9,West, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,31,,,24,,26
-79.42669,43.706645,6588038,1214725,2011,2011-01-25T05:00:00.000Z,2058,20,BATHURST ST,FOREST RIDGE DR, ,Major Arterial,North York,43.706645,-79.42669,Mid-Block, ,No Control,Clear,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,4,West,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,"13,53",,,102,,27
-79.434711,43.63745,80000048,142962876,2014,2014-09-22T04:00:00.000Z,2059,20,KING ST W,CLOSE AVE, ,Major Arterial,Toronto and East York,43.63745,-79.434711,Intersection, ,Pedestrian Crossover,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,29,Unknown, , , , ,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Unknown, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,14,,,85,,28
-79.17369,43.776445,7503913,1331849,2012,2012-12-18T05:00:00.000Z,2100,21,KINGSTON RD,BEECHGROVE DR, ,Major Arterial,Scarborough,43.776445,-79.17369,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,42,North,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,43,,,136,,29
-79.570766,43.633544,80000016,131086760,2013,2013-12-03T05:00:00.000Z,2100,21,MARKLAND DR,BLOOR ST W, ,Major Arterial,Etobicoke York,43.633544,-79.570766,Intersection, ,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,60,East, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,22,,,12,,30
-79.19869,43.802245,5444199,1075633,2008,2008-12-13T05:00:00.000Z,2101,21,SHEPPARD AVE E,MORNINGSIDE AVE, ,Major Arterial,Scarborough,43.802245,-79.19869,Mid-Block, ,No Control,Clear,Dark,Wet,Fatal,Turning Movement,Driver,30 to 34,Fatal,54,West,"Automobile, Station Wagon",Turning Left,Improper Turn,Unknown, , , , , , , , ,Yes, , ,, , , , , , , ,42,,,131,,31
-79.430408,43.660933,80000141,5000912141,2015,2015-05-31T04:00:00.000Z,2104,21,BLOOR ST W,WESTMORELAND AVE, ,Major Arterial,Toronto and East York,43.660933,-79.430408,Intersection, ,No Control,Rain,Dusk,Wet,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,25,South, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,14,,,83,,32
-79.284488,43.792746,7835426,1363537,2013,2013-07-03T04:00:00.000Z,2105,21,98 HAVENDALE RD, , ,Collector,Scarborough,43.792746,-79.284488,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,25 to 29,Fatal,18,West,Motorcycle,Going Ahead,Lost control,Unknown, , , , , , , , ,Yes,Yes, ,, , ,Yes,Yes, , , ,42,,,128,,33
-79.583576,43.660464,80000027,142041479,2014,2014-05-08T04:00:00.000Z,2108,21,RENFORTH DR,ERINGATE DR, ,Minor Arterial,Etobicoke York,43.660464,-79.583576,Mid-Block, ,No Control,Clear,"Dusk, artificial",Dry,Fatal,Turning Movement,Motorcycle Driver,20 to 24,Fatal,8,North,Motorcycle,Going Ahead,Exceeding Speed Limit,Unknown, , , , , , , , ,Yes,Yes, ,, , ,Yes,Yes, , , ,22,,,11,,34
-79.37889,43.779645,7376307,1274722,2012,2012-01-12T05:00:00.000Z,2110,21,FOREST GROVE DR,PAGE AVE, ,Local,North York,43.779645,-79.37889,Mid-Block, ,No Control,Clear,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,1,Unknown,Other, , , ,Vehicle is reversing and hits pedestrian,Other,Medical or Physical Disability, , , ,Yes, ,Yes, , ,, , , , , , , ,33,,,52,,35
-79.171031,43.808852,80487904,5001366372,2015,2015-08-09T04:00:00.000Z,2110,21,MEADOWVALE RD,SHEPPARD AVE E,35 m North of,Collector,Scarborough,43.808852,-79.171031,Mid-Block,Intersection Related,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,36,Unknown, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,131,,36
-79.4099,43.788653,80503947,6000605777,2016,2016-04-09T04:00:00.000Z,2111,21,CUMMER AVE,WILLOWDALE AVE, ,Minor Arterial,North York,43.788653,-79.4099,Intersection,Intersection Related,Traffic Signal,Clear,Dark,Dry,Fatal,Angle,Driver,30 to 34,Fatal,25,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , , , ,Yes, , ,, , , ,Yes,Yes, , ,32,,,50,,37
-79.303623,43.824481,7875613,1380760,2013,2013-10-08T04:00:00.000Z,2115,21,STEELES AVE E,TURFF  AVE, ,Major Arterial,Scarborough,43.824481,-79.303623,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,47,North, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , ,, ,Yes, , , , , ,42,,,130,,38
-79.559459,43.69047,80496954,5000887145,2015,2015-05-27T04:00:00.000Z,2120,21,TANGAMO RD,MOFORD CRES,17 m North of,Local,Etobicoke York,43.69047,-79.559459,Intersection,Non Intersection,Stop Sign,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Driver,15 to 19,Fatal,24,South,"Automobile, Station Wagon",Going Ahead,Other,Unknown, , , , , , , , ,Yes, , ,, , , , , , , ,23,,,7,,39
-79.31619,43.797845,5394193,1053672,2008,2008-08-17T04:00:00.000Z,2125,21,WARDEN Aven,FINCH Aven E, ,Major Arterial,Scarborough,43.797845,-79.31619,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Fatal,36,East,Other,Going Ahead, , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control","Ability Impaired, Alcohol", , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,117,,40
-79.301257,43.763491,80783197,7001757365,2017,2017-09-27T04:00:00.000Z,2125,21,WARDEN AVE,CONTINENTAL PL, ,Major Arterial,Scarborough,43.763491,-79.301257,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,43,East, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,41,,,119,,41
-79.301257,43.763491,80783198,7001757365,2017,2017-09-27T04:00:00.000Z,2125,21,WARDEN AVE,CONTINENTAL PL, ,Major Arterial,Scarborough,43.763491,-79.301257,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,5 to 9,Fatal,44,East, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,41,,,119,,42
-79.39129,43.643445,5792281,1096330,2009,2009-03-25T04:00:00.000Z,2128,21,FRONT ST W,BLUE JAYS WAY, ,Minor Arterial,Toronto and East York,43.643445,-79.39129,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,25 to 29,Fatal,9,South,Other, , , ,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Inattentive, , , ,Yes, , , ,Yes,, , , ,Yes, , , ,52,,,77,,43
-79.301288,43.721343,7791165,1344588,2013,2013-03-05T05:00:00.000Z,2128,21,1420 VICTORIA PARK Ave, , ,Major Arterial,Scarborough,43.721343,-79.301288,Mid-Block, ,No Control,Clear,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,7,East, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Had Been Drinking, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,"54,41",,,43,,44
-79.44669,43.788245,5326615,1023187,2008,2008-02-24T05:00:00.000Z,2132,21,BATHURST ST,CARPENTER RD, ,Major Arterial,North York,43.788245,-79.44669,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Approaching,Passenger,15 to 19,Fatal,8, ,Other, , , , , , , , , , , ,Yes, , ,, ,Yes, , , ,Yes, ,32,,,35,,45
-79.189586,43.767646,7527655,1307650,2012,2012-07-27T04:00:00.000Z,2133,21,KINGSTON RD,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.767646,-79.189586,Intersection,At Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,Fatal,Cyclist Collisions,Cyclist,15 to 19,Fatal,24,South,Bicycle,Going Ahead, , , , , ,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Unknown, ,Yes,Yes, , ,, , , , , , , ,43,,,136,,46
-79.274997,43.829547,80783203,7001764156,2017,2017-09-28T04:00:00.000Z,2135,21,4322 MCCOWAN RD, ,30 m South of,Major Arterial,Scarborough,43.829547,-79.274997,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,46,West, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,130,,47
-79.39442,43.725703,80197010,5001196464,2015,2015-07-14T04:00:00.000Z,2137,21,BUCKINGHAM AVE,DINNICK CRES, ,Local,North York,43.725703,-79.39442,Intersection, ,Stop Sign,Other,"Dark, artificial",Other,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,34,North, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , ,, , , ,Yes, , , ,53,,,103,,48
-79.222949,43.742285,80503971,6000707918,2016,2016-04-25T04:00:00.000Z,2139,21,EGLINTON AVE E,BEACHELL ST, ,Major Arterial,Scarborough,43.742285,-79.222949,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,28,North, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , ,, , , , , , , ,43,,,139,,49
-79.447673,43.69625,80000020,141375171,2014,2014-01-19T05:00:00.000Z,2145,21,EGLINTON AVE W,NORTHCLIFFE BLVD, ,Major Arterial, ,43.69625,-79.447673,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,1,South, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,13,,,107,,50
-79.246181,43.820227,80503036,6000548529,2016,2016-03-31T04:00:00.000Z,2146,21,MARKHAM RD,NASHDENE RD, ,Major Arterial,Scarborough,43.820227,-79.246181,Intersection,Intersection Related,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,20,West, , , , ,Vehicle turns left while ped crosses without ROW at inter.,Crossing without right of way,Inattentive, , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,131,,51
-79.393192,43.668845,5278939,1121922,2009,2009-08-31T04:00:00.000Z,2150,21,BLOOR ST W,AVENUE RD, ,Major Arterial,Toronto and East York,43.668845,-79.393192,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,23,West, , , , ,Other / Undefined,Other,Had Been Drinking, , , ,Yes, ,Yes, , ,, , , , , , , ,"53,52",,,76,,52
-79.24579,43.819445,5402315,1057151,2008,2008-09-08T04:00:00.000Z,2150,21,MARKHAM RD,NASHDENE RD, ,Major Arterial,Scarborough,43.819445,-79.24579,Mid-Block, ,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Fatal,38,West,Other, , , ,Pedestrian hit at mid-block,Running onto Roadway,Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,131,,53
-79.446643,43.686812,80143414,5001079056,2015,2015-06-26T04:00:00.000Z,2150,21,2058 DUFFERIN ST, , ,Major Arterial,Toronto and East York,43.686812,-79.446643,Mid-Block, ,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,32,West, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , ,, , , , , , , ,13,,,109,,54
-79.24899,43.736445,7527566,1304055,2012,2012-07-13T04:00:00.000Z,2151,21,EGLINTON AVE E,BRIMLEY RD, ,Major Arterial,Scarborough,43.736445,-79.24899,Mid-Block, ,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Fatal,21,North,Other, , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,41,,,124,,55
-79.245151,43.837935,80792371,8000041197,2018,2018-01-07T05:00:00.000Z,2151,21,STEELES AVE E,EASTVALE  DR,E of,Major Arterial,Scarborough,43.837935,-79.245151,Intersection,Intersection Related,No Control,Other,Dark,Other,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,4,North, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,42,,,131,,56
