X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.43179,43.674645,5342804,1030716,2008,2008-03-17T04:00:00.000Z,2230,22,DAVENPORT RD,SOMERSET AVE, ,Minor Arterial,Toronto and East York,43.674645,-79.43179,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,0, ,Other, , , ,Pedestrian hit at mid-block,Person Getting on/off Vehicle,Normal, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,13,,,94,,6026
-79.233592,43.780944,5416299,1063149,2008,2008-10-07T04:00:00.000Z,2230,22,MARKHAM RD,TUXEDO CRT, ,Major Arterial,Scarborough,43.780944,-79.233592,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,35 to 39,Major,0,South,Motorcycle,Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes,Yes, , , , , ,Yes, , , ,43,,,137,,6027
-79.233592,43.780944,5416300,1063149,2008,2008-10-07T04:00:00.000Z,2230,22,MARKHAM RD,TUXEDO CRT, ,Major Arterial,Scarborough,43.780944,-79.233592,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,0,East,Pick Up Truck,Turning Left,Failed to Yield Right of Way,Normal, , , , , , , , ,Yes,Yes, , , , , ,Yes, , , ,43,,,137,,6028
-79.30269,43.801845,6207670,1196563,2010,2010-10-01T04:00:00.000Z,2230,22,SILVER SPRINGS BLVD,BIRCHMOUNT RD, ,Collector,Scarborough,43.801845,-79.30269,Mid-Block, ,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,0,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,42,,,117,,6029
-79.30269,43.801845,6207671,1196563,2010,2010-10-01T04:00:00.000Z,2230,22,SILVER SPRINGS BLVD,BIRCHMOUNT RD, ,Collector,Scarborough,43.801845,-79.30269,Mid-Block, ,Pedestrian Crossover,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,45 to 49,Major,0,South,Other, , , ,Pedestrian hit a PXO/ped. Mid-block signal,"Crossing, Pedestrian Crossover",Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,42,,,117,,6030
-79.225314,43.75981,80489832,5001670423,2015,2015-09-24T04:00:00.000Z,2230,22,MARKHAM RD,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.75981,-79.225314,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,60 to 64,Major,0,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive, , , , , , , , ,Yes, , , , , , ,Yes, , , ,43,,,137,,6031
-79.225314,43.75981,80489833,5001670423,2015,2015-09-24T04:00:00.000Z,2230,22,MARKHAM RD,LAWRENCE AVE E, ,Major Arterial,Scarborough,43.75981,-79.225314,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,15 to 19,None,0,North,Passenger Van,Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , , , ,Yes, , , ,43,,,137,,6032
-79.45428,43.741828,80230356,5000220860,2015,2015-02-06T05:00:00.000Z,2231,22,TRANSIT RD,WILLIAM R ALLEN RD S, ,Expressway,North York,43.741828,-79.45428,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Major,0,West,"Automobile, Station Wagon",Turning Left,Disobeyed Traffic Control,Inattentive, , , , , , , , ,Yes, , ,Yes, , ,Yes,Yes,Yes, , ,32,,,33,,6033
-79.45428,43.741828,80230357,5000220860,2015,2015-02-06T05:00:00.000Z,2231,22,TRANSIT RD,WILLIAM R ALLEN RD S, ,Expressway,North York,43.741828,-79.45428,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,None,0,North,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , ,Yes, , ,Yes,Yes,Yes, , ,32,,,33,,6034
-79.59279,43.711345,6196034,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6035
-79.59279,43.711345,6196035,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Driver,45 to 49,None,0,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08", , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6036
-79.59279,43.711345,6196036,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,unknown,Minor,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6037
-79.59279,43.711345,6196037,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,5 to 9,Major,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6038
-79.59279,43.711345,6196038,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,25 to 29,Fatal,32, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6039
-79.59279,43.711345,6196039,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6040
-79.59279,43.711345,6196040,1191546,2010,2010-09-26T04:00:00.000Z,2235,22,HIGHWAY 27  N,VICE REGENT BLVD, ,Major Arterial,Etobicoke York,43.711345,-79.59279,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,Turning Movement,Driver,30 to 34,Minimal,0,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,23,,,1,,6041
-79.56829,43.657545,7442606,1305957,2012,2012-07-12T04:00:00.000Z,2235,22,THE EAST MALL,WEST DEANE PARK Dr, ,Expressway,Etobicoke York,43.657545,-79.56829,Mid-Block,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Motorcycle Driver,25 to 29,Major,0,East,Motorcycle,Going Ahead,Lost control,Unknown, , , , , , , , , ,Yes, , , , ,Yes,Yes, , , ,22,,,11,,6042
-79.398357,43.706721,80502169,6000434518,2016,2016-03-12T05:00:00.000Z,2235,22,YONGE ST,EGLINTON AVE E, ,Major Arterial,Toronto and East York,43.706721,-79.398357,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,15 to 19,Minimal,0,East,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability, , , , , , ,Yes, ,Yes, , , , ,Yes,Yes,Yes, , ,Yes,53,,,104,,6043
-79.398357,43.706721,80502170,6000434518,2016,2016-03-12T05:00:00.000Z,2235,22,YONGE ST,EGLINTON AVE E, ,Major Arterial,Toronto and East York,43.706721,-79.398357,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,70 to 74,None,0,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , ,Yes, ,Yes, , , , ,Yes,Yes,Yes, , ,Yes,53,,,104,,6044
-79.398357,43.706721,80502171,6000434518,2016,2016-03-12T05:00:00.000Z,2235,22,YONGE ST,EGLINTON AVE E, ,Major Arterial,Toronto and East York,43.706721,-79.398357,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,15 to 19,None,0, , , , , , , , , , , ,Yes, ,Yes, , , , ,Yes,Yes,Yes, , ,Yes,53,,,104,,6045
-79.398357,43.706721,80502172,6000434518,2016,2016-03-12T05:00:00.000Z,2235,22,YONGE ST,EGLINTON AVE E, ,Major Arterial,Toronto and East York,43.706721,-79.398357,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,65 to 69,None,0, , , , , , , , , , , ,Yes, ,Yes, , , , ,Yes,Yes,Yes, , ,Yes,53,,,104,,6046
-79.398357,43.706721,80502173,6000434518,2016,2016-03-12T05:00:00.000Z,2235,22,YONGE ST,EGLINTON AVE E, ,Major Arterial,Toronto and East York,43.706721,-79.398357,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,0,South, , , , ,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , ,Yes,Yes,Yes, , ,Yes,53,,,104,,6047
-79.591533,43.669337,80946880,8001226350,2018,2018-07-05T04:00:00.000Z,2235,22,RENFORTH DR,HWY 401 WB ON RAMP AVE, ,Expressway,Etobicoke York,43.669337,-79.591533,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Truck Driver,75 to 79,None,0,North,Truck-Tractor,Turning Left,Improper Turn,Fatigue, , , , , , , , ,Yes, ,Yes, , ,Yes,Yes,Yes, , , ,23,,,1,,6048
-79.591533,43.669337,80946881,8001226350,2018,2018-07-05T04:00:00.000Z,2235,22,RENFORTH DR,HWY 401 WB ON RAMP AVE, ,Expressway,Etobicoke York,43.669337,-79.591533,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,20 to 24,Major,0,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Normal, , , , , , , , ,Yes, ,Yes, , ,Yes,Yes,Yes, , , ,23,,,1,,6049
-79.591533,43.669337,80946882,8001226350,2018,2018-07-05T04:00:00.000Z,2235,22,RENFORTH DR,HWY 401 WB ON RAMP AVE, ,Expressway,Etobicoke York,43.669337,-79.591533,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Major,0, , , , , , , , , , , , , ,Yes, ,Yes, , ,Yes,Yes,Yes, , , ,23,,,1,,6050
-79.591533,43.669337,80946883,8001226350,2018,2018-07-05T04:00:00.000Z,2235,22,RENFORTH DR,HWY 401 WB ON RAMP AVE, ,Expressway,Etobicoke York,43.669337,-79.591533,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Passenger,20 to 24,Minor,0, , , , , , , , , , , , , ,Yes, ,Yes, , ,Yes,Yes,Yes, , , ,23,,,1,,6051
-79.361606,43.683962,80725615,6002241239,2016,2016-12-18T05:00:00.000Z,2236,22,SB DON VALLEY PKWY,POTTERY RD,400 m North of,Expressway,Toronto and East York,43.683962,-79.361606,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,None,0,South,Passenger Van,Going Ahead,Driving Properly,Normal, , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,54,,,57,,6052
-79.361606,43.683962,80725616,6002241239,2016,2016-12-18T05:00:00.000Z,2236,22,SB DON VALLEY PKWY,POTTERY RD,400 m North of,Expressway,Toronto and East York,43.683962,-79.361606,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,0,Unknown, , , , ,Pedestrian hit at mid-block,Playing or Working on Highway,Medical or Physical Disability, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,54,,,57,,6053
-79.512874,43.599005,80877068,8000879182,2018,2018-05-15T04:00:00.000Z,2237,22,LAKE SHORE BLVD W,THIRTEENTH ST, ,Major Arterial,Etobicoke York,43.599005,-79.512874,Intersection,Intersection Related,No Control, ,Dark, ,Fatal,Sideswipe,Driver,20 to 24,None,0,East,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,"Ability Impaired, Alcohol Over .08", , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,22,,,18,,6054
-79.512874,43.599005,80877078,8000879182,2018,2018-05-15T04:00:00.000Z,2237,22,LAKE SHORE BLVD W,THIRTEENTH ST, ,Major Arterial,Etobicoke York,43.599005,-79.512874,Intersection,Intersection Related,No Control, ,Dark, ,Fatal,Sideswipe,Passenger,25 to 29,Fatal,23, , , , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, ,Yes, ,22,,,18,,6055
